Measurement,Control,Treatment,Ratio
Calcium Power,4431.58 ± 3340.59,4663.89 ± 3007.06,0.87 ± 0.29
Coherence,0.51 ± 0.25,0.45 ± 0.07,1.15 ± 0.55
EEG Power,7727.79 ± 2465.52,18962.32 ± 6880.37,0.44 ± 0.16
Lag,-0.59 ± 4.88,-1.42 ± 4.30,-2.97 ± 10.48
XC,-0.20 ± 0.05,-0.08 ± 0.22,0.12 ± 1.36
