lineNum,Measurement,Control,Treatment,Ratio
46,EEG Power,6406.5268184996785,37607.19879603709,0.17035373608243257
46,Calcium Power,8396.410836337056,8447.172663008174,0.9939906725366922
46,Coherence,0.3316528253310808,0.38847017021635244,0.8537407779505229
46,XC,-0.16729819248679517,-0.615309359378669,0.2718928128376441
46,Lag,0.4666666666666667,-0.7,-0.6666666666666667
47,EEG Power,6493.175166710697,107692.98937950509,0.060293387750887384
47,Calcium Power,3834.87134569583,4294.482903869131,0.8929762748015104
47,Coherence,0.32123669725050397,0.3649100412915792,0.8803175054144966
47,XC,0.1262857043492019,0.15245606314145782,0.8283416333007791
47,Lag,1.0333333333333334,0.0,
101,EEG Power,4058.2687930415655,15923.152805075813,0.25486590769561124
101,Calcium Power,408.7201721961901,634.0059195192941,0.6446630222413119
101,Coherence,0.5070496316963944,0.32807018540864036,1.5455523063298768
101,XC,-0.08213070244756136,-0.09581695942398365,0.8571624787647298
101,Lag,-6.466666666666667,-1.0,6.466666666666667
97,EEG Power,8219.16685195848,24879.93975309549,0.3303531653823991
97,Calcium Power,1568.6929065511154,2105.2704692546026,0.745126542864837
97,Coherence,0.32760782023656126,0.4057748699097572,0.8073635025979308
97,XC,0.22111248005425696,0.20185664686257523,1.0953936047733477
97,Lag,1.7666666666666666,-2.5,-0.7066666666666667
64,EEG Power,6656.8667344755195,44215.52590160648,0.1505549600221685
64,Calcium Power,1414.183448454532,1213.85175297862,1.1650380246058272
64,Coherence,0.43947409749901667,0.42331973432706066,1.0381611388791883
64,XC,0.27577710812228595,0.4409388698769907,0.6254316118676946
64,Lag,1.3,0.16666666666666666,7.800000000000001
88,EEG Power,6909.315482795884,34574.45912883684,0.19983871496150657
88,Calcium Power,7606.120901851589,7325.048792842974,1.0383713633803013
88,Coherence,0.35285352055513874,0.36978381634496077,0.9542156929495578
88,XC,-0.25953823454040975,-0.4052003658690685,0.6405182630666079
88,Lag,2.2333333333333334,0.13333333333333333,16.75
