lineNum,Measurement,Control,Treatment,Ratio
35,EEG Power,7631.45572307494,20771.389175741984,0.36740227909202094
35,Calcium Power,7613.853978683952,7371.772962263577,1.0328389137402356
35,Coherence,0.35290196068577645,0.39255402324639366,0.8989895397512487
35,XC,-0.15608388637648998,-0.2169958247436721,0.7192944221892988
35,Lag,1.4333333333333333,0.6,2.388888888888889
37,EEG Power,7212.228897886919,13588.059913321405,0.5307769426904149
37,Calcium Power,7657.859598600717,6930.281195694507,1.1049854085802786
37,Coherence,0.38744513753441157,0.5322640415314785,0.7279190538959182
37,XC,-0.159299820729079,-0.19927221602866693,0.7994080856016698
37,Lag,1.9,4.9,0.38775510204081626
38,EEG Power,12093.254494043762,30881.92292548788,0.3915965506170859
38,Calcium Power,2510.887515318957,3034.7974815702855,0.8273657568806722
38,Coherence,0.5128917412959728,0.3656335899109008,1.402747875054249
38,XC,-0.28857345215908414,-0.26211439086136895,1.10094471047837
38,Lag,-3.533333333333333,-1.4666666666666666,2.409090909090909
83,EEG Power,7794.071372364098,11456.476446477896,0.6803201148953836
83,Calcium Power,6982.453014893338,7734.190553434804,0.9028033336717293
83,Coherence,0.2998673400516648,0.5195319623521353,0.5771874721509757
83,XC,-0.18390605648110817,-0.17155189454655081,1.0720141387375062
83,Lag,2.6666666666666665,-6.8,-0.39215686274509803
90,EEG Power,7189.272332058628,16839.871391171408,0.4269196696969864
90,Calcium Power,1295.7285672631165,1252.5283450288139,1.0344904148522953
90,Coherence,0.4827021639726123,0.3882331424061062,1.2433306465826868
90,XC,-0.17785617082535227,0.2811152913997122,-0.632680527408458
90,Lag,3.2333333333333334,-0.13333333333333333,-24.25
92,EEG Power,4446.459183291768,20236.199240093025,0.2197279800686192
92,Calcium Power,528.7004690485728,1659.7615942303778,0.31854000652047154
92,Coherence,1.0,0.4817527307721555,2.075753672215195
92,XC,-0.20686796987686684,0.08903982632780955,-2.323319557197478
92,Lag,-9.233333333333333,-5.633333333333334,1.6390532544378695
