Measurement,Control,Control,Treatment,Treatment,Ratio,Ratio,P-Value
,mean,std,mean,std,mean,std,
Calcium Power,-20.820363849888047,2.2619391017878763,-13.330931508504097,4.104423452105892,0.6355026508747392,0.15936123427337856,0.01102892153371271
Coherence,0.3650800534038779,0.06537010159684482,0.4079381799129383,0.050718672382702536,1.129330380060454,0.12620865069564796,0.28214332400655584
EEG Power,27.78879151835589,0.5151524247604289,35.92947934302099,2.0303688906748296,1.2937621727330253,0.08610545634889774,0.0005516705868706673
Lag,-1.6866666666666668,1.947876336480892,1.2133333333333334,2.9775642543678025,-0.6930307735742518,0.7464680484564267,0.11181699164883252
XC,0.24229011727355046,0.05071967695742552,0.4260487350659776,0.1762032294644981,1.8623981144096782,0.9351983374440728,0.07904811529009637
XC P-Value,2.4559049565752654e-07,5.086027879618548e-07,1.3350415756967756e-08,2.9852431583225446e-08,59.982574864101935,134.09320285778045,0.36533337994525406
