Measurement,Control,Control,Treatment,Treatment,Ratio,Ratio,P-Value
,mean,std,mean,std,mean,std,
Calcium Power,-18.01645280483102,1.2009278793670575,-15.47034466478225,3.503388021868215,0.8557061935635042,0.16329819470032592,0.18568573868900407
Coherence,0.4084688068129479,0.08192033986899111,0.5020602318515921,0.2786901626286523,1.2039636366058182,0.46999194214719675,0.5055656701457911
EEG Power,28.65398992136669,0.831531809230917,32.39901666714783,1.3843459824776903,1.1311756606038945,0.05111119946926768,0.0015606166545436562
Lag,0.43333333333333324,3.2016488807418524,1.34,3.451923779253791,1.0902022035234376,1.662698199273295,0.6781798199207669
XC,0.22348330816500334,0.024880738789375047,0.2895195236538602,0.10644996735446047,1.3253748416955848,0.5729555728632032,0.24158165640495444
XC P-Value,2.3580302924202999e-07,2.820967560821929e-07,3.083760837864595e-10,5.449084776946377e-10,2.389001893755446,5.258188348508912,0.13535126268894682
