lineNum,Measurement,Control,Treatment,Ratio
35,EEG Power,27.768816113891045,33.2798363466317,1.1984607557678277
35,Calcium Power,-17.002333258683088,-13.065234775093444,0.7684377535901451
35,Coherence,0.4881234821698301,0.36684037042013495,0.7515319049791221
35,XC,0.25404954595289786,0.2871624132646413,1.1303401948133485
35,Lag,-3.8666666666666667,0.5333333333333333,-0.13793103448275862
35,XC P-Value,6.839729556763603e-12,1.014282252401298e-12,0.14829274227638206
37,EEG Power,28.495860924704033,31.292445935175145,1.0981400427893953
37,Calcium Power,-19.510784747216523,-14.220542751386462,0.7288554989268289
37,Coherence,0.36662986757442095,0.3614107969081033,0.9857647422430518
37,XC,0.21033863557911073,0.26592638564199156,1.2642774110891941
37,Lag,0.6333333333333333,0.3333333333333333,0.5263157894736842
37,XC P-Value,1.1176735532669307e-07,2.5743559380436693e-11,0.0002303316501064997
38,EEG Power,29.935143625826406,34.173927418314186,1.1415989128186708
38,Calcium Power,-18.944043920736082,-21.21036237910568,1.1196322426115626
38,Coherence,0.5033109095159952,1.0,1.9868434820171923
38,XC,0.24672533336969146,0.1899489322180325,0.7698801319822898
38,Lag,5.1,7.366666666666666,1.4444444444444444
38,XC P-Value,2.1218100156102224e-11,2.502556264637173e-10,11.794440813389459
83,EEG Power,28.91427536911255,30.813555493700967,1.0656865890755578
83,Calcium Power,-17.885291843161824,-16.248054798881416,0.9084590255145106
83,Coherence,0.3202957961111146,0.3925237601122921,1.2255039400396026
83,XC,0.20210944460326166,0.23615038925287246,1.1684282726937019
83,Lag,-0.36666666666666664,-1.4,3.8181818181818183
83,XC P-Value,6.183410315241974e-07,1.2648669508357424e-09,0.002045581461281766
90,EEG Power,28.155853573299428,32.435318141917165,1.1519920025680206
90,Calcium Power,-16.73981025435758,-12.607528619444242,0.7531464471744742
90,Coherence,0.3639839786933786,0.38952623181742974,1.070174113750122
90,XC,0.20419358132005513,0.468409497891763,2.29394819789939
90,Lag,0.6666666666666666,-0.13333333333333333,-0.2
90,XC P-Value,4.488787015295466e-07,7.458655106617197e-34,1.6616192929631e-27
