line number,id,date (YYMMDD),calcium imaging directory,ephys directory,indices of TTL events to delete,zero time (s),baseline period (min),decay_time,update_background_components,method_deconvolution,method_init,K,gSig,gSiz,tsub,ssub,ssub_B,ring_size_factor,min_corr,min_pnr,normalize_init,center_psf,nb,p,del_duplicates,border_pix,low_rank_background,rf,stride,only_init,nb_patch,min_SNR,rval_thr,use_cnn,merge_thr,pw_rigid,shifts_opencv,max_shifts,gSig_filt,strides,overlaps,max_deviation_rigid,border_nan,crop,periods of high slow wave power (s),control periods (s),crop_square,ca_ephys_baseline_video_num,ca_ephys_slow_wave_video_num,ca_ephys_burst_suppression_video_num,comments
58,R221107B,230307,../../experimental_data/miniscope_data/propofol/R221107B/2023_03_07/14_17_12,../../experimental_data/Neuralynx_data/R221107B/2023-03-07_14-00-34,"[3397,3398]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(147,479, 517,93)","[2700,3800]","[0,300]","(223,399, 460,169)",,,,
59,R220817B,230308,../../experimental_data/miniscope_data/dexmedetomidine/R220817B/2023_03_08/15_33_26,../../experimental_data/Neuralynx_data/R220817B/2023-03-08_15-19-06,"[4469,4470]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(122,446, 510,75)",,,"(167,385, 444,134)",,,,
60,R221107A,230309,../../experimental_data/miniscope_data/ketamine/R221107A/2023_03_09/15_52_17,../../experimental_data/Neuralynx_data/R221107A/2023-03-09_15-23-54,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,442, 419,120)","[3000,4000]","[700,1150]","(122,404, 410,142)",,,,
61,no_rat,230314,../../experimental_data/miniscope_data/test_miniscope_led_timing/no_rat/2023_03_14/10_42_32,../../experimental_data/Neuralynx_data/test_miniscope_led_timing/2023-03-14_10-35-32,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
62,R221107A,230314,../../experimental_data/miniscope_data/dexmedetomidine/R221107A/2023_03_14/15_52_17,../../experimental_data/Neuralynx_data/R221107A/2023-03-14_15-39-49,"[2813,2814]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(109,432, 420,110)","[2733,3500]","[240,540]","(134,382, 414,139)",,,,
63,R221107B,230323,../../experimental_data/miniscope_data/dexmedetomidine/R221107B/2023_03_23/15_51_13,../../experimental_data/Neuralynx_data/R221107B/2023-03-23_15-37-14,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(153,468, 509,110)","[4225, 4900]","[540,900]","(185,433, 489,139)",,,,
64,R220817B,230324,../../experimental_data/miniscope_data/dexmedetomidine/R220817B/2023_03_24/15_39_13,../../experimental_data/Neuralynx_data/R220817B/2023-03-24_15-26-36,"[4219,267942,267943]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,448, 506,79)","[1725,5625]","[840,1200]","(163,379, 456,117)",,,,
65,R221107B,230327,../../experimental_data/miniscope_data/dexmedetomidine/R221107B/2023_03_27/15_42_17,../../experimental_data/Neuralynx_data/R221107B/2023-03-27_15-30-46,"[1759,3265,3266]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(170,448, 495,106)","[2400, 3330]","[180, 540]","(189,416, 483,142)",,,,
66,R221107A,230328,../../experimental_data/miniscope_data/propofol/R221107A/2023_03_28/15_45_09,../../experimental_data/Neuralynx_data/R221107A/2023-03-28_15-33-39,"[5240,5241]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(98,444, 429,102)","[2160,3900]","[0,275]","(121,427, 406,134)",,,,
67,R230227,230410,../../experimental_data/miniscope_data/sleep/R230227/2023_04_10/15_05_10,../../experimental_data/Neuralynx_data/R230227/2023-04-10_14-57-41,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(96,460, 489,93)","[3475, 4000]","[708, 936]","(156,394, 413,155)",,,,
68,R220817B,230411,../../experimental_data/miniscope_data/day_of_perfusion/R220817B/2023_04_11/13_44_11,../../experimental_data/Neuralynx_data/R220817B/2023-04-11_13-40-54,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(108,450, 524,61)",,,,,,,
69,R230227,230413,../../experimental_data/miniscope_data/dexmedetomidine/R230227/2023_04_13/15_22_12,../../experimental_data/Neuralynx_data/R230227/2023-04-13_15-07-19,"[2717,2719]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(99,469, 463,90)","[2825,4125]","[100,550]","(161,402, 431,138)",,,,
70,R230301,230417,../../experimental_data/miniscope_data/sleep/R230301/2023_04_17/14_55_14,../../experimental_data/Neuralynx_data/R230301/2023-04-17_14-21-23,"[6297,6298]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(53,445, 449,59)","[6660, 7380]","[120, 420]","(125,393, 386,121)",,,,
71,R221020A,230419,../../experimental_data/miniscope_data/dexmedetomidine/R221020A/2023_04_19/15_03_39,,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
72,R230227,230420,../../experimental_data/miniscope_data/propofol/R230227/2023_04_20/14_51_12,../../experimental_data/Neuralynx_data/R230227/2023-04-20_14-36-37,"[2518,2519]",0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(91,461, 463,85)","[2260,4000]","[660, 975]","(149,418, 412,156)",,,,
73,R230301,230421,../../experimental_data/miniscope_data/dexmedetomidine/R230301/2023_04_21/14_33_21,../../experimental_data/Neuralynx_data/R230301/2023-04-21_14-14-04,[3457],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(54,451, 453,59)","[3250,4300]","[225, 540]","(117,385, 400,134)",,,,
74,R230301,230424,../../experimental_data/miniscope_data/ketamine/R230301/2023_04_24/15_09_07,../../experimental_data/Neuralynx_data/R230301/2023-04-24_14-57-48,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(46,452, 456,56)","[1800, 3600]","[172, 450]","(102,390, 403,132)",,,,
75,R230227,230428,../../experimental_data/miniscope_data/ketamine/R230227/2023_04_28/15_32_14,../../experimental_data/Neuralynx_data/R230227/2023-04-28_15-29-43,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(66,489, 500,83)","[1725,3375]","[120,540]","(114,364, 265,189)",,,,
76,R230301,230429,../../experimental_data/miniscope_data/propofol/R230301/2023_04_29/15_52_10,../../experimental_data/Neuralynx_data/R230301/2023-04-29_15-39-01,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(46,452, 455,54)","[2000,4400]","[156, 415]","(119,388, 401,114)",,,,
77,R230227,230501,../../experimental_data/miniscope_data/test/R230227/2023_05_01/15_58_49,,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
78,R221020A,230502,../../experimental_data/miniscope_data/day_of_perfusion/R221020A/2023_05_02/13_19_20,../../experimental_data/Neuralynx_data/R221020A/2023-05-02_13-17-10,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(81,454, 494,65)",,,,,,,
79,R221020B,230503,../../experimental_data/miniscope_data/day_of_perfusion/R221020B/2023_05_03/15_00_07,../../experimental_data/Neuralynx_data/R221020B/2023-05-03_14-26-53,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(111,438, 466,94)",,,,,,,
80,R230301,230504,../../experimental_data/miniscope_data/dexmedetomidine/R230301/2023_05_04/14_50_10,../../experimental_data/Neuralynx_data/R230301/2023-05-04_14-29-13,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(48,443, 457,54)","[3750, 5100]","[462,750]","(118,367, 414,117)",,,,
81,R230227,230511,../../experimental_data/miniscope_data/test/R230227/2023_05_11/11_33_32,../../experimental_data/Neuralynx_data/R230227/2023-05-11_11-41-25,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(83,470, 504,83)",,,,,,,
82,R230522,230711,../../experimental_data/miniscope_data/test/R230522/2023_07_11/15_18_22,../../experimental_data/Neuralynx_data/R230522/2023-07-11_15-12-18,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
83,R230522,230714,../../experimental_data/miniscope_data/sleep/R230522/2023_07_14/14_11_08,../../experimental_data/Neuralynx_data/R230522/2023-07-14_13-58-57,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,"[7200,7800]","[0,600]","(209,368, 462,144)",,,,
84,R221107A,230717,../../experimental_data/miniscope_data/day_of_perfusion/R221107A/2023_07_17/10_16_10,../../experimental_data/Neuralynx_data/R221107A/2023-07-17_10-14-04,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
85,R230522,230717,../../experimental_data/miniscope_data/ketamine/R230522/2023_07_17/14_42_10,../../experimental_data/Neuralynx_data/R230522/2023-07-17_14-27-58,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,"[2250, 4200]","[780,1080]","(209,368, 462,144)",,,,
86,R230522,230721,../../experimental_data/miniscope_data/propofol/R230522/2023_07_21/15_01_10,../../experimental_data/Neuralynx_data/R230522/2023-07-21_14-46-16,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,"[2250, 4200]","[500,900]","(209,368, 462,144)",,,,
87,R230522,230725,../../experimental_data/miniscope_data/dexmedetomidine/R230522/2023_07_25/15_12_13,../../experimental_data/Neuralynx_data/R230522/2023-07-25_15-10-11,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,"[1725, 5200]","[0,775]","(209,368, 462,144)",,,,
88,R230522,230728,../../experimental_data/miniscope_data/dexmedetomidine/R230522/2023_07_28/14_45_19,../../experimental_data/Neuralynx_data/R230522/2023-07-28_15-35-58,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,"[2200, 6100]","[0,360]","(209,368, 462,144)",,,,
89,R230522,230810,../../experimental_data/miniscope_data/day_of_perfusion/R230522/2023_08_10/,../../experimental_data/Neuralynx_data/R230522/2023-08-10_15-56-53,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
90,R230706A,230815,../../experimental_data/miniscope_data/sleep/R230706A/2023_08_15/14_38_44,../../experimental_data/Neuralynx_data/R230706A/2023-08-15_14-03-25,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(95,482, 491,103)","[5400, 6480]","[240, 600]","(181,393, 423,179)",,,,
91,R230706A,230824,../../experimental_data/miniscope_data/propofol/R230706A/2023_08_24/15_02_18,../../experimental_data/Neuralynx_data/R230706A/2023-08-24_15-00-25,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(95,482, 491,103)","[2300, 4225]","[0,360]","(159,439, 442,146)",,,,
92,R230706B,230825,../../experimental_data/miniscope_data/sleep/R230706B/2023_08_25/14_56_14,../../experimental_data/Neuralynx_data/R230706B/2023-08-25_13-47-51,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(67,503, 555,61)","[5640, 6600]","[0,420]","(147,395, 463,150)",,,,
93,R230706A,230828,../../experimental_data/miniscope_data/dexmedetomidine/R230706A/2023_08_28/15_19_08,../../experimental_data/Neuralynx_data/R230706A/2023-08-28_14-55-17,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(95,482, 491,103)","[4500, 5880]","[905, 1200]","(132,452, 458,130)",,,,
94,R230706B,230829,../../experimental_data/miniscope_data/dexmedetomidine/R230706B/2023_08_29/14_57_12,../../experimental_data/Neuralynx_data/R230706B/2023-08-29_14-29-21,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(67,503, 555,61)","[4525,5800]","[780,1080]","(174,392, 443,148)",,,,
95,R230706A,230831,../../experimental_data/miniscope_data/ketamine/R230706A/2023_08_31/15_17_10,../../experimental_data/Neuralynx_data/R230706A/2023-08-31_15-14-06,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(172,534, 559,154)","[2000,3600]","[240,450]","(261,462, 510,234)",,,,
96,R230706B,230901,../../experimental_data/miniscope_data/ketamine/R230706B/2023_09_01/15_04_11,../../experimental_data/Neuralynx_data/R230706B/2023-09-01_14-41-19,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(67,503, 555,61)","[2280, 4000]","[0,360]","(161,401, 428,144)",,,,
97,R230706A,230904,../../experimental_data/miniscope_data/dexmedetomidine/R230706A/2023_09_04/15_06_16,../../experimental_data/Neuralynx_data/R230706A/2023-09-04_14-42-50,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(95,482, 491,103)","[1700,5000]","[0,360]","(153,421, 451,142)",,,,
98,R221107B,230905,../../experimental_data/miniscope_data/day_of_perfusion/R221107B/2023_09_05/11_05_17,../../experimental_data/Neuralynx_data/R221107B/2023-09-05_10-55-12,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(81,454, 494,65)",,,,,,,
99,R230706B,230905,../../experimental_data/miniscope_data/propofol/R230706B/2023_09_05/15_35_12,../../experimental_data/Neuralynx_data/R230706B/2023-09-05_14-29-56,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(67,503, 555,61)","[3330,4140]","[60,420]","(173,385, 450,130)",,,,
100,R230706A,230907,,../../experimental_data/Neuralynx_data/R230706A/2023-09-07_14-34-34,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
101,R230706B,230908,../../experimental_data/miniscope_data/dexmedetomidine/R230706B/2023_09_08/15_15_12,../../experimental_data/Neuralynx_data/R230706B/2023-09-08_14-36-19,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(67,503, 555,61)","[2250,6100]","[480,840]","(180,388, 437,150)",,,,
102,R230227,230908,../../experimental_data/miniscope_data/day_of_perfusion/R230227/2023_09_08/19_45_10,../../experimental_data/Neuralynx_data/R230227/2023-09-08_19-21-24,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
103,R230706A,230918,../../experimental_data/miniscope_data/propofol/R230706A/2023_09_18/15_39_11,../../experimental_data/Neuralynx_data/R230706A/2023-09-18_15-22-26,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(95,482, 491,103)","[2280,4380]","[0,360]","(157,421, 465,152)",,,,
104,R230706A,231109,../../experimental_data/miniscope_data/isoflurane/R230706A/2023_11_09/14_58_11,../../experimental_data/Neuralynx_data/R230706A/2023-11-09_14-14-19,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(95,482, 491,103)","[2280,4380]","[0,360]","(157,421, 465,152)",,,,
105,R230706B,231116,../../experimental_data/miniscope_data/isoflurane/R230706B/2023_11_16/15_26_10,../../experimental_data/Neuralynx_data/R230706B/2023-11-16_14-42-38,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
106,R230706A,231130,../../experimental_data/miniscope_data/isoflurane/R230706A/2023_11_30/14_57_18,../../experimental_data/Neuralynx_data/R230706A/2023-11-30_14-19-10,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(95,482, 491,103)","[2280,4380]","[0,360]","(157,421, 465,152)",,,,
107,R230706A,231204,../../experimental_data/miniscope_data/isoflurane/R230706A/2023_12_04/15_15_10,../../experimental_data/Neuralynx_data/R230706A/2023-12-04_15-13-43,[],0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(95,482, 491,103)","[2280,4380]","[0,360]","(157,421, 465,152)",0,37,260,
108,R230706A,231207,../../experimental_data/miniscope_data/isoflurane/R230706A/2023_12_07/15_07_31,../../experimental_data/Neuralynx_data/R230706A/2023-12-07_14-32-11,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(95,482, 491,103)","[2280,4380]","[0,360]","(157,421, 465,152)",,,,
