line number,id,date (YYMMDD),calcium imaging directory,ephys directory,indices of TTL events to delete,zero time (s),baseline period (min),decay_time,update_background_components,method_deconvolution,method_init,K,gSig,gSiz,tsub,ssub,ssub_B,ring_size_factor,min_corr,min_pnr,normalize_init,center_psf,nb,p,del_duplicates,border_pix,low_rank_background,rf,stride,only_init,nb_patch,min_SNR,rval_thr,use_cnn,merge_thr,pw_rigid,shifts_opencv,max_shifts,gSig_filt,strides,overlaps,max_deviation_rigid,border_nan,crop,periods of high slow wave power (s),control periods (s),crop_square,ca_ephys_baseline_video_num,ca_ephys_slow_wave_video_num,ca_ephys_burst_suppression_video_num,comments
20,R220607,220726,D:/Dropbox (Partners HealthCare)/experimental_data/miniscope_data/test/R220607/2022_07_26/14_57_17/,,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(121,462, 510,71)",,,,,,,
21,R220629A,220829,../../experimental_data/miniscope_data/test/R220629A/2022_08_29/09_33_14,,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,,,,,,,,
22,R220607,220810,../../experimental_data/miniscope_data/test/R220607/2022_08_10/10_55_07,,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(121,462, 510,71)",,,,,,,
23,R220817B,221014,../../experimental_data/miniscope_data/sleep/R220817B/2022_10_14/13_37_38,../../experimental_data/Neuralynx_data/R220817B/2022-10-14_13-32-41,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
24,R220817B,221018,../../experimental_data/miniscope_data/propofol/R220817B/2022_10_18/14_24_35,../../experimental_data/Neuralynx_data/R220817B/2022-10-18_14-03-40,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
25,R220817B,221022,../../experimental_data/miniscope_data/ketamine/R220817B/2022_10_22/14_12_19,../../experimental_data/Neuralynx_data/R220817B/2022-10-22_13-57-28,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
26,R220817B,221025,../../experimental_data/miniscope_data/dexmedetomidine/R220817B/2022_10_25/14_31_22,../../experimental_data/Neuralynx_data/R220817B/2022-10-25_14-29-39,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
27,R220817B,221101,../../experimental_data/miniscope_data/ketamine/R220817B/2022_11_01/14_42_17;../../experimental_data/miniscope_data/ketamine/R220817B/2022_11_01/15_54_01,../../experimental_data/Neuralynx_data/R220817B/2022-11-01_14-39-12,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
28,R220817B,221104,../../experimental_data/miniscope_data/propofol/R220817B/2022_11_04/14_49_12,../../experimental_data/Neuralynx_data/R220817B/2022-11-04_14-08-52,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
29,R220817B,221108,../../experimental_data/miniscope_data/ketamine/R220817B/2022_11_08/15_21_25,../../experimental_data/Neuralynx_data/R220817B/2022-11-08_15-15-41,,0,,0.4,TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(116,451, 517,73)",,,,,,,
