line number,id,date (YYMMDD),calcium imaging directory,ephys directory,rat weight (kg),systemic drug,systemic dose (% or mg/kg/min),systemic drug concentration (mg/mL),total systemic time (min),zero time (s),event rows,emg channel,events filename,LFP and EEG CSCs,Baseline Period (min),comments
33,no_rat,221121,../../experimental_data/miniscope_data/test_brightness_with_power_supply/no_rat/2022_11_21/17_46_37,,NA,NA,NA,NA,NA,0,,,,,,Short recording immediately after the previous line's to show that changing the LED value does indeed change the brightness on the movie.
34,R221020A,221123,../../experimental_data/miniscope_data/sleep/R221020A/2022_11_23/14_20_51,../../experimental_data/Neuralynx_data/R221020A/2022-11-23_14-18-22,0.311,NA,NA,NA,NA,0,,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,,Time at start of experiment is in the Neuralynx events file. Used bad headstage.
35,R220817B,221125,../../experimental_data/miniscope_data/sleep/R220817B/2022_11_25/14_04_09,../../experimental_data/Neuralynx_data/R220817B/2022-11-25_13-47-06,0.3085,NA,NA,NA,NA,0,,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,,Time at start of experiment is in the Neuralynx events file.
36,R220817B,221128,../../experimental_data/miniscope_data/propofol/R220817B/2022_11_28/14_25_30,../../experimental_data/Neuralynx_data/R220817B/2022-11-28_14-15-03,0.307,propofol,0.8,10,40,0,,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,,"Iso for tail vein cannulation was stopped at 1:20 pm, >=1 hr before the start of the baseline recording. No clave; used luer-lock cap. Used SAI infusion tubing EXT-60, with 1.4 mL of dead space."
37,R221020A,221129,../../experimental_data/miniscope_data/sleep/R221020A/2022_11_29/14_23_10,../../experimental_data/Neuralynx_data/R221020A/2022-11-29_14-09-59,0.33,NA,NA,NA,NA,0,,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,,Time at start of experiment is in the Neuralynx events file.
38,R221020B,221130,../../experimental_data/miniscope_data/sleep/R221020B/2022_11_30/14_11_13,../../experimental_data/Neuralynx_data/R221020B/2022-11-30_13-53-02,0.322,NA,NA,NA,NA,0,,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,,Time at start of experiment is in the Neuralynx events file. Large scab on the edge of the implant on the right side of the head.
39,R221020A,221202,../../experimental_data/miniscope_data/ketamine/R221020A/2022_12_02/15_11_16,../../experimental_data/Neuralynx_data/R221020A/2022-12-02_15-01-50,0.333,ketamine,2,6,30,0,,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,,"Iso for tail vein cannulation was stopped between 2:01 and 2:06 pm (I forgot when I initially heard the time, but then heard it again at 2:06), >=1 hr before the start of the baseline recording. No clave; used luer-lock cap. Ketamine dilution was made by putting 0.93 mL of 100 mg/mL ketamine in 14.57 mL saline. Used SAI infusion tubing EXT-60, with 1.4 mL of dead space."
40,R221020B,221206,../../experimental_data/miniscope_data/dexmedetomidine/R221020B/2022_12_06/15_05_12,../../experimental_data/Neuralynx_data/R221020B/2022-12-06_15-01-21,0.3405,dexmedetomidine,0.0003,0.002,45,0,,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,,"Iso for tail vein cannulation was stopped at 1:28 pm, >=1 hr before the start of the baseline recording. No clave; used luer-lock cap. Dexmedetomidine dilution was made by putting 0.3 mL of 0.1 mg/mL dexmedetomidine in 14.7 mL saline. Used SAI infusion tubing EXT-60, with 1.4 mL of dead space."
41,R221020A,221207,../../experimental_data/miniscope_data/dexmedetomidine/R221020A/2022_12_07/15_08_13,../../experimental_data/Neuralynx_data/R221020A/2022-12-07_14-18-02,0.3345,dexmedetomidine,0.0003,0.002,45,0,,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,,"Iso for tail vein cannulation was stopped at 1:56 pm, >=1 hr before the start of the baseline recording. No clave; used luer-lock cap. Dexmedetomidine dilution was made by putting 0.3 mL of 0.1 mg/mL dexmedetomidine in 14.7 mL saline. Used SAI infusion tubing EXT-60, with 1.4 mL of dead space. Some of the dex was on the outside of the tubing (due to pushing it out before connecting the tubing), and the rat licked the tubing as the infusion was progressing. I doubt it affected anything."
42,R220817B,221208,../../experimental_data/miniscope_data/ketamine/R220817B/2022_12_08/14_33_20,../../experimental_data/Neuralynx_data/R220817B/2022-12-08_14-19-12,0.3075,ketamine,2,6,30,0,,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,,"Iso for tail vein cannulation was stopped at 1:18 pm, >=1 hr before the start of the baseline recording. No clave; used luer-lock cap. Ketamine dilution was made by putting 0.6 mL of 100 mg/mL ketamine in 9.4 mL saline. Used SAI infusion tubing EXT-60, with 1.4 mL of dead space."
