rownumber,id,date,primaryCSC,rat weight (kg),systemic drug,DREADDs drug,DREADDs drug route,systemic dose (% or mg/kg/min),systemic drug concentration (mg/mL),total systemic time (min),DREADDs drug concentration (mg/mL),DREADDs drug dose (mg/kg),zero time (s),channel of interest,event rows,emg channel,events filename,states filename,Xtrode filenames,Xtrode regions,units CSCs,LFP and EEG CSCs,Baseline Period (min),Systemic Drug Baseline Period (min),EMG Anesthesia Period (min),comments
38,R190617A,190712,D:\data\R190620_R190617A_190712_syst_dexmedetomidine_CNO\PFCvsPCEEG2.ncs,0.4955,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,3929.76457600000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-7 -2],NA,9+(14/60),"CNO was given at 11:48 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
39,R190617B,190712,D:\data\R190610_R190617B_190712_syst_ketamine_dexmedetomidine_CNO\PFCvsPCEEG2.ncs,0.5805,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,17409.2789790000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-13 -8],NA,13.2,"CNO was given at 3:31 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
40,R190620,190715,D:\data\R190620_R190617A_190715_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.519,dexmedetomidine,saline,ip,0.0045,0.005,10,NA,NA,2238.93174000000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-7 -2],NA,11.3,"Saline was given at 9:36 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
41,R190617A,190715,D:\data\R190620_R190617A_190715_syst_dexmedetomidine_saline\PFCvsPCEEG2.ncs,0.502,dexmedetomidine,saline,ip,0.0045,0.005,10,NA,NA,3491.88893900000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-16 -11],NA,6+(52/60),"Saline was given at 10:00 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
42,R190617B,190715,D:\data\R190617B_190715_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.578,dexmedetomidine,saline,ip,0.0045,0.005,10,NA,NA,18488.1259030000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-20 -15],NA,8+(44/60),"Saline was given at 2:10 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
43,R190618B,190716,D:\data\R190618B_190716_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.550,dexmedetomidine,saline,ip,0.0045,0.005,10,NA,NA,2571.09253800000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-6 -1],NA,12+(19/60),"Saline was given at 10:10 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
44,R190618A,190717,D:\data\R190618A_R190619A_190717_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.5605,dexmedetomidine,saline,ip,0.0045,0.005,10,NA,NA,4738.17479400000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-25 -20],NA,,"Saline was given at 9:44 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
45,R190619A,190717,D:\data\R190618A_R190619A_190717_syst_dexmedetomidine_saline\PFCvsPCEEG2.ncs,0.574,dexmedetomidine,saline,ip,0.0045,0.005,10,NA,NA,5940.62333000000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-15 -10],NA,11+(32/60),"Saline was given at 10:04 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
46,R190619B,190717,D:\data\R190619B_190717_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.545,dexmedetomidine,saline,ip,0.0045,0.005,10,NA,NA,19474.7466020000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-19 -14],NA,5+(4/60),"Saline was given at 1:49 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
47,R190620,190722,D:\data\R190620_R190617B_190722_syst_ketamine_saline\PFCvsPCEEG.ncs,0.539,ketamine,saline,ip,4,6,15,NA,NA,6215.69176500000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-6 -1],NA,14.2,"Saline was given at 10:54 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline."
48,R190617B,190722,D:\data\R190620_R190617B_190722_syst_ketamine_saline\PFCvsPCEEG2.ncs,0.626,ketamine,saline,ip,4,6,15,NA,NA,7417.57973500000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-6 -1],NA,16,"Saline was given at 11:14 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline."
49,R190617A,190722,D:\data\R190617A_190722_syst_ketamine_saline\PFCvsPCEEG.ncs,0.537,ketamine,saline,ip,4,6,15,NA,NA,19364.8556450000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Saline was given at 2:33 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. Saw fluid coming out around tail mid-infusion--IV didn't work."
50,R190617A,190724,D:\data\R190617A_190724_syst_ketamine_saline\PFCvsPCEEG.ncs,0.538,ketamine,saline,ip,4,6,15,NA,NA,7966.09357300000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-20 -15],NA,16.5,"Saline was given at 10:33 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline."
